nickname,teams,player_id,age,country,rating
QKA,"5POWER, UYA, BOOT",11355.0,28.0,China,1.1
trk,"TeamOne, MIBR",11163.0,27.0,Brazil,1.14
somebody,TYLOO,8605.0,27.0,China,1.07
shroud,Cloud9,8349.0,28.0,Canada,1.07
Pimp,"Dignitas, SK, Liquid, CPH Wolves",7154.0,26.0,Denmark,1.07
boltz,"Immortals, Luminosity, SK, MIBR",8568.0,25.0,Brazil,1.07
HObbit,"Gambit, Winstrike",8528.0,28.0,Kazakhstan,1.07
Brollan,"fnatic, GODSENT",13666.0,20.0,Sweden,1.12
DD,"TYLOO, OneThree",7026.0,27.0,China,1.07
roeJ,"Copenhagen Flames, MAD Lions, Tricked",14419.0,28.0,Denmark,1.15
dycha,"ENCE, Sprout, Aristocracy",16080.0,24.0,Poland,1.12
NikoM,"TeamOne, Isurus, DETONA",10504.0,25.0,Argentina,1.06
FalleN,"SK, MIBR, Luminosity",2023.0,31.0,Brazil,1.06
snatchie,"AGO, Virtus.pro, Sprout",9574.0,24.0,Poland,1.06
shz,"Luminosity, Imperial, MIBR, INTZ, BOOM",11739.0,24.0,Brazil,1.1
chelo,"MIBR, INTZ, Luminosity",10566.0,24.0,Brazil,1.06
