nickname,teams,Unnamed: 0,player_id,age,country,rating
string,string,continuous,continuous,continuous,ARG AUS BEL BGR BIH BLR BRA CAN CHE CHN CZE DEU DNK ESP EST FIN FRA GBR GTM HKG HUN IDN ISR JOR KAZ KOR LTU LVA MEX MKD MNE MNG MYS NLD NOR NZL POL PRT ROU RUS SGP SRB SVK SWE THA TUR TWN UKR URY USA UZB XKX ZAF,continuous
tb,"VG.CyberZen, CyberZen, ViCi",276.0,839.0,31.0,CHN,1.03
dEE,"lvlUP, 4glory, Juggernauts, BLUEJAYS",277.0,4576.0,26.0,SRB,1.07
land1n,"paiN, Wild, Case, BigGods",278.0,10557.0,28.0,BRA,1.03
tarik,"CLG, Evil Geniuses, Cloud9, OpTic",279.0,8523.0,26.0,USA,1.03
REZ,"NIP, Epsilon",280.0,9278.0,24.0,SWE,1.03
Kntz,"NKT, Alpha Red, Beyond, NSPR",281.0,10705.0,24.0,THA,1.07
rAge,"Hard Legion, Windigo Academy",282.0,14171.0,25.0,UKR,1.07
JUST,"SAW, OFFSET",283.0,8998.0,26.0,PRT,1.03
sjuush,"Heroic, Tricked, MAD Lions",284.0,14148.0,23.0,DNK,1.09
max,"9z, Isurus, Furious",285.0,12092.0,23.0,URY,1.11
NK4Y,"Outlaws, Bpro, ex-Epsilon",286.0,10761.0,26.0,BGR,1.07
Subroza,"Ghost, FRENCH CANADIANS, CLG, Lazarus, Orgless",287.0,11231.0,25.0,CAN,1.1
USTILO,"Renegades, ORDER",288.0,8771.0,28.0,AUS,1.03
TRAVIS,1WIN,289.0,16948.0,24.0,RUS,1.11
Lucky,"HEET, Heretics, DBL PONEY, G2, 3DMAX",290.0,13497.0,24.0,FRA,1.09
dobu,"5POWER, TIGER, TheMongolz",291.0,9521.0,23.0,MNG,1.03
alex,Movistar Riders,292.0,8371.0,26.0,ESP,1.03
yam,"Renegades, Tainted Minds",293.0,2555.0,33.0,AUS,1.03
